elevation (ft),volume (mg),fraction full
522.45,354975.0,0.861088201
522.47,355125.0,0.861452067
522.49,355275.0,0.861815932
522.53,355575.0,0.862543664
522.61,356175.0,0.863999127
522.57,355875.0,0.863271395
522.55,355725.0,0.86290753
522.53,355575.0,0.862543664
522.51,355425.0,0.862179798
522.51,355425.0,0.862179798
522.55,355725.0,0.86290753
522.59,356025.0,0.863635261
522.61,356175.0,0.863999127
522.61,356175.0,0.863999127
522.6,356100.0,0.863817194
522.58,355950.0,0.863453328
522.57,355875.0,0.863271395
522.55,355725.0,0.86290753
522.53,355575.0,0.862543664
522.52,355500.0,0.862361731
522.5,355350.0,0.861997865
522.49,355275.0,0.861815932
522.48,355200.0,0.861634
522.47,355125.0,0.861452067
522.47,355125.0,0.861452067
522.53,355575.0,0.862543664
522.51,355425.0,0.862179798
522.5,355350.0,0.861997865
522.5,355350.0,0.861997865
522.51,355425.0,0.862179798
522.53,355575.0,0.862543664
522.51,355425.0,0.862179798
522.49,355275.0,0.861815932
522.5,355350.0,0.861997865
522.49,355275.0,0.861815932
522.49,355275.0,0.861815932
522.49,355275.0,0.861815932
522.49,355275.0,0.861815932
522.49,355275.0,0.861815932
522.43,354825.0,0.860724335
522.42,354750.0,0.860542402
522.4,354600.0,0.860178537
522.41,354675.0,0.86036047
522.4,354600.0,0.860178537
522.42,354750.0,0.860542402
522.5,355350.0,0.861997865
522.51,355425.0,0.862179798
522.51,355425.0,0.862179798
522.51,355425.0,0.862179798
522.58,355950.0,0.863453328
522.58,355950.0,0.863453328
522.57,355875.0,0.863271395
522.57,355875.0,0.863271395
522.54,355650.0,0.862725597
522.54,355650.0,0.862725597
522.58,355950.0,0.863453328
522.66,356550.0,0.864908791
522.68,356700.0,0.865272657
522.74,357150.0,0.866364254
522.84,357900.0,0.868183582
522.92,358500.0,0.869639045
522.97,358875.0,0.870548709
523.02,359250.0,0.871458374
523.07,359625.0,0.872368038
523.11,359925.0,0.873095769
523.14,360150.0,0.873641568
523.15,360225.0,0.873823501
